dialect,sarcasm,sentiment,original_sentiment,tweet,source
gulf,False,negative,negative,"""نصيحه ما عمرك اتنزل لعبة سوبر ماريو مش زي ما كنّا متوقعين الله يرحم ايامات السيقا والفاميلي #SuperMarioRun""",semeval
msa,False,neutral,positive,"""#نادين_نسيب_نجيم ❤️❤️❤️مجلة #ماري_كلير 💭#ملكة_الصحراء  👑https://t.co/fVtn489TUS@nadinenjeim @MarieClaire_AR""",semeval
egypt,False,neutral,neutral,"""@Alito_NBA اتوقع انه بيستمر""",semeval
levant,True,neutral,negative,"""@KSA24 يعني ""بموافقتنا"" لأن دمشق صايرة موسكو""",semeval
msa,False,neutral,negative,"""RT @alaahmad20: قائد في الحرس يعترف بفقدان السيطرة الأمنية في شرقي وغربي إيران - أحوازنا#الأحواز #السعودية @abo_asseel @spagov  https:/…""",semeval
egypt,True,negative,negative,شوال الفلوس سويرس مشغول اوى اليومين دول بقناة الجزيرة ونازل شتيمة وتريقه فيها وفى ضيوفها خدك بيوجعك اوى ياشوال,astd
msa,False,negative,negative,"""الأمين العام للأمم المتحدة: بشار الأسد قتل 300 ألف شخص فى سوريا https://t.co/KMXrqNovgE""",semeval
egypt,True,negative,neutral,"حسبنا الله ونعم الوكيل "" #انتخبوا_العرص #بيقولك_أعرف_بلدك #الحرية_للجدعان ناس عا…",astd
msa,False,negative,negative,"""RT @isharatidriss: ٣٠)#امريكا_ومحاربة_الارهاب الذي صنعتة لمواصلة الكيد والحقد الذي يملاء قلوب دول الكفر علي الاسلام والمسلمين( يا ايها الذي…""",semeval
msa,False,neutral,negative,"""رئيس لجنة الحكام رضا البلتاجى يفتح النار على #عمرو_أديب https://t.co/2PYLdCqvtp""",semeval
egypt,True,neutral,negative,"""حتي جوجل مش مصدق اني في بيت دمياط 💔 https://t.co/GBTmGmMRiG""",semeval
gulf,False,negative,negative,"""على أي اساس سواقين #اوبر يعطون الراكب تقييم ؟ انا طبيعتي ماتكلم ولا اسولف مع السواقين حتى سواقي الخاص اقوله… — https://t.co/QEgjafZfrO""",semeval
egypt,False,neutral,positive,"""#SuperMarioRun  من جرب اللعبة ؟ انا عجبتني 👍🏻😍 #nintndo https://t.co/bVvx7b9DH2""",semeval
egypt,False,negative,neutral,RT @al_rakkad: مهما كابر البعض .. الارجنتين بحاجه ماسه الى هذا الرجل !من دونه نتائج سيئه جدًا .. الارجنتين من دون ميسي لاشيء .. https://…,semeval
msa,False,negative,neutral,الأسئلة التي هربنا منها أيام المجلس العسكري لا زالت تطاردنا وستظل إلى أن نواجهها ونجيب عليها,astd
levant,False,neutral,neutral,"""انتي أم دفتر وردي عليه ستيكر ريال مدريد وكود ؟ بالاداب — اوووله 😅😅 ،، يمكن اي يمكن لا https://t.co/bSzbcCzqpi""",semeval
msa,False,neutral,neutral,"""#هام ـ #حلب بقي في الأحياء الشرقية لمدينة حلب  حتى اللحظة حوالي 2200 مسلح مع عائلاتهم. و من المتوقع أن تكون... https://t.co/mBWllalZY4""",semeval
msa,False,negative,negative,"""عليهم لعنة الله لن تضيع دماء الابرياء سوف تحل لعنة السماء على ال سعود المجرمين ومن حالفهم #الضنيه #Christmas #وينن https://t.co/rpMV6wHzSu""",semeval
levant,False,neutral,neutral,"""صارلي ثلاث اسابيع انطر هالتنبيه 😭😭😭#SuperMarioRun https://t.co/4S3UdcQwn2""",semeval
gulf,False,neutral,neutral,"""حتي غوغل شاهد...! https://t.co/5EdQLrnS0d""",semeval
msa,True,negative,negative,"""#الحوثي #المخلوع عجباً ل #كيري و #قابوس كيف يتجاهلاالقرار٢٢١٦ الصادرمن مجلس الأمن ومحاولة الالتفاف عليه؟هل هذه الحياديةوالسعي لمصلحة #اليمن""",semeval
egypt,False,positive,positive,"""شغل جامد 👌👍#MannequinChallenge https://t.co/r0aO699OxP""",semeval
msa,False,neutral,neutral,"""كل يوم - #السيسي يجتمع اليوم مع المجلس الاعلى للاستثمار#كل_يوم | #ON_E | #عمرو_اديبhttps://t.co/vhmqGNmZdQ""",semeval
msa,False,neutral,negative,"""نيويورك تايمز: على أوباما وقف دعمه للسعودية إذا لم توقف مذابحها في  #اليمن و... https://t.co/44msnSZTWi #اليمن #اليمن_الان""",semeval
egypt,True,negative,negative,#توفيق_عكاشة بيقول على هيفا ولية ناشفة امال حياة الدرديري بتاعتك دي ايه ؟؟ يافلاح ميت الغرقا ياحماررر,astd
egypt,True,neutral,neutral,"""RT @yousefalawnah: معمم آخر موديل شغل غوتشي😂😂😂 https://t.co/F2mOrNE1Pj""",semeval
msa,False,neutral,neutral,"""RT @al_tagreer: هل تغير إيران من سياسات تعاملها مع السعودية؟https://t.co/tgQbfq0nMLالرابط البديل :https://t.co/KbRifMgqaA https://t.co/D…""",semeval
levant,False,negative,negative,"""#حلب #سورياو ايه مقابل ال بتعمله #روسيا في سورياكل الروس ال بيتقتلوا و.كل طلعة جويةاكيد مش لله و سوريا و بشار""",semeval
msa,False,positive,positive,كل عام وأنتم بخير وكل منا في سلام مع نفسه ومع الغير وفي وطن يتسع للجميعمازالت قناعتي أن شباب مصر الثورة هم الحل والأمل:فكر خلاق وقيادة فتية,astd
levant,False,negative,positive,"""@nsalmk ونيكي? يمه امزح  لاجد وربي بيونسيه هي الي وحيده تظبط هالشي""",semeval
msa,False,positive,positive,مقال رائع لخالد منتصر,astd
msa,True,negative,negative,"""@MajdKanaann اللجان الثوريه هي عصابه تابعه لايران وامريكا وبريطانيا زي حقه حزب الله لبنان وعمهم الكبير نتن ياهو الكلب والله يسترع المسلمين""",semeval
